Dynlt3
Cav1
Mmp19
Paics
Ube2d3
Dnajb11
Maged2
Hnrnpa2b1
Tgfbi
Ddx3x
Dnajb4
Aspn
Tmem66
Hadhb
Ckap4
Glul
Fbln1
Pdia4
Idh1
Sdcbp
Sema3c
Errfi1
Sec24d
Sepp1
Myadm
Pik3r1
Cxcl12
Ppic
Twsg1
Rpn2
D0H4S114
Ppp2r1a
Tmem45a
Tgfbr3
Eef1a1
Tm9sf2
Akap12
Tsc22d3
Adamts1
Pi16
Arf4
Pdcd4
Epb4.1l2
Plod1
Ctsk
Ext2
Itgb1
Plbd2
Gpi1
Tubb2a
Fhl1
Tcp11l2
S100a10
Bmp1
Colec12
Islr
Wsb1
Serpinb6a
Ugdh
Cd164
Sar1a
Rps25
Col1a2
Hdlbp
Gpr133
Lrrc59
Actg1
Capn2
Sepn1
Tmem123
1500003O03Rik
Pkd2
Ablim1
Hnrnpk
Ssr1
Anxa2
Tpst1
Hspa8
Ahnak
Tm9sf1
Olfml3
Pcsk6
Rnd3
Anxa6
P4hb
Gdi2
Igf1
Sgk1
Copa
Lum
Fndc3b
Snx1
Ccpg1
Asah1
Kcnq1ot1
Lman1
Serpinh1
Olfml2b
Rab6a
Atp1b3
Sulf2
Fkbp1a
Stt3b
Txndc5
Copb1
Cdc42
Ccdc80
Itm2a
Cyr61
Capza2
Skp1a
Rab18
Zbtb20
Fgl2
Adamts2
Fbn1
Gsn
Ndrg4
Rbms3
Pofut2
Uba1
Pcsk5
Ccdc50
Axl
Nucb1
Add3
Sec31a
Oat
Ppp2ca
Fmo1
Anapc2
Hbp1
Eif4a2
Lpar1
Cpxm1
Acat1
Vcp
Ost4
Lmf2
Morf4l2
Ddr2
Gas1
Mbnl2
Sgce
M6pr
Lpl
Pdgfrl
Add1
Tpm4
Tm9sf3
Ddost
Nid1
Clcn4-2
Gas6
Glud1
Plod3
Lamp2
Rps29
Serp1
Clptm1l
Gpc3
Maged1
Ergic1
Vasn
Col1a1
Rcn1
Rpn1
P4ha2
Fstl1
Fkbp10
Fosb
Copb2
Antxr1
Trpc4ap
Fam114a1
Gfpt2
C1s
Sept2
Mbnl1
Tm7sf3
Ehd2
Stt3a
Glb1
Lbp
Ctso
Loxl2
Cat
Cnn3
Grn
Ctnnb1
Zfp207
Lamc1
Mtpn
Acaa2
Leprel2
Leprot
Lamp1
Slc25a17
Lars2
Psmd1
Itfg1
Plxdc2
Itgbl1
1810055G02Rik
Tcp1
Sdha
Clk1
Ddx5
Tgfbr2
Cilp
Igsf10
Atxn10
Glt8d2
Antxr2
Gbp2
Mmp2
Serinc1
Zfp106
Gnas
Ndel1
Atp6ap2
Arsa
Mtap4
Thbs3
Golim4
Rcn3
Lrrc17
Grb10
Tpp1
Sqstm1
Sec61a1
Surf4
Lrpap1
Nedd4
Scara5
Nptn
Tmed3
Hnrnph1
Iqgap1
Ssr2
Ctsf
Tmem165
Ptpra
Dnajc10
Fuca1
Gdf10
Lama2
Col6a1
Eef2
Col14a1
Col5a1
Alkbh5
Slc39a1
Copg
Rap1b
Ddx1
Tmem30a
P4ha1
Vcan
Tuba1b
Tmed2
Lepre1
Cltc
Lama4
Chpf
Tram1
Itih5
Fbln5
Glt25d1
Hspa5
Pmp22
Bcap31
Scpep1
Entpd2
Bgn
Kdelr2
Pdia6
Cd34
Fkbp5
App
Tapbp
Gorasp2
Sparc
Gaa
Morf4l1
Emilin1
Anapc5
Fkbp9
Podn
Gem
Pttg1ip
Col5a2
Derl1
Sdf2
Klhl13
Actr3
Pam
Adam15
Ppt1
Hexb
Col3a1
Pid1
Htra1
C1ra
Gba
Ltbp4
Cd55
Fam3c
Col6a3
Pdgfra
Ntrk2
Pdia3
9530068E07Rik
Kdelr3
Arcn1
Pcolce
Slc39a7
Atp6ap1
Tmem43
Postn
Srpr
Col6a2
Ghitm
Fkbp7
Ctsd
Ogn
2010106G01Rik
Prss23
Ggcx
Ssr3
Sfrp4
Crtap
Srpx
Cercam
Aldh1a1
Rlim
Rbbp7
Cxcr7
Calu
