Aldh18a1
Man2b1
Dynlt3
Tcn2
Atp6v1h
Smarca2
Smarcd2
Sh3kbp1
Cav1
Ccdc102a
Tbc1d15
Gls
Htra3
Mmp19
Paics
0610007C21Rik
Eef1g
Hn1
Sh3d19
Bnip2
Golt1b
Nucb2
Pafah1b2
Dcaf11
Snrk
Gpbp1
Ppapdc1b
Ube2d3
Dnajb11
Uap1
Dnaja2
Maged2
Cd200
Snx4
Gmps
Ghr
Hsp90b1
Hnrnpa2b1
Dym
Abca1
Tgfb3
Tgfbi
Cdk5rap3
Ddx3x
Dnajb4
Aspn
Tmem66
Hadhb
Ckap4
Rnf130
Fam198b
Trim35
Rps28
Glul
Fbln1
Gusb
Fndc1
Cct7
Mark3
Foxo1
Sec23b
Clk3
Pdia4
Man1a
Jmjd8
Mat2a
Idh1
Socs2
Sdcbp
Sema3c
Papss1
Errfi1
Sgms2
Sppl3
Sec24d
H13
Sepp1
Ttc3
Fzd4
Spg20
Myadm
Pik3r1
Tbrg1
Cxcl12
Tspan6
Adamtsl1
Ppic
Twsg1
Rpn2
Vwa5a
D0H4S114
Ppp2r1a
Pls3
Sptlc2
B4galt1
Tmem45a
Rhbdf1
Mt2
Tgfbr3
Usp14
Eef1a1
Atp1a1
Ryk
Fam45a
Tm9sf2
Tmem65
Akap12
Tsc22d3
Xpnpep1
Actn4
Adamts1
Arhgap24
Pi16
Arf4
Pdcd4
Epb4.1l2
Plod1
Ctsk
Ext2
Itgb1
Plbd2
Gpi1
Tubb2a
Fhl1
Tcp11l2
Arhgap1
Pqlc3
S100a10
Zhx3
Stk25
Bmp1
Cyfip1
Colec12
Islr
Capza1
Eprs
Snx5
Cct5
Wsb1
St7l
Serpinb6a
Ugdh
Plrg1
Filip1l
Sgcb
Lonp2
Cd164
Sar1a
Adam10
Rps25
S1pr2
Rer1
Psmd14
Rragc
Eif4g2
Col1a2
Mest
Ergic3
Klhdc2
Flrt2
Tmem184b
Agpat6
Hdlbp
Gpr133
Cpd
Ctsh
Scn7a
Anxa4
Lrrc59
Rbm5
Kdelc2
March2
Nudt4
Mpp1
Ptdss1
Reck
Col4a2
Arfgap1
Canx
Por
Appl1
Ncstn
Rps2
Actg1
Trap1
Capn2
Dld
Tubb4a
Afg3l2
Sepn1
Ltbp1
Slc16a1
Stxbp3a
Mpv17
Hnrnpab
Cxxc1
2610507B11Rik
Parva
Tm9sf4
Tmem123
1500003O03Rik
Itgb5
Ash1l
Pgam1
Bicc1
Pkd2
Klhl24
Ablim1
Hnrnpk
Rpl37
Ssr1
Arap1
Fam46a
Anxa2
Tpst1
Man1a2
Hspa8
Clk4
Ahnak
Tm9sf1
Tspan31
Dnajb9
BC003331
Olfml3
Pdcd6ip
Pcsk6
Rnd3
Slc38a10
Anxa6
Smtn
Meg3
P4hb
Rpl39
Gdi2
Igf1
Ctsz
Usp9x
Azin1
Sgk1
Slc12a4
Copa
Lum
Fndc3b
Snx1
Chmp3
Abhd4
Rb1cc1
Ccpg1
Zfp592
Asah1
Kcnq1ot1
Lman1
Naglu
Tiprl
Akt2
Serpinh1
Hdac2
Abca9
Atp11a
Olfml2b
Tars
Eml1
Tmem39a
Rab6a
Gbf1
Atp1b3
1810006K21Rik
Mgrn1
Matn2
Sulf2
Nadk
Loxl3
Fam129a
Hspb8
Fkbp1a
Rab5a
Kif5b
Baz2b
Lpp
Stt3b
Txndc5
Acadvl
Tbc1d19
Copb1
Cdc42
Prdx4
Ccdc80
Flna
Slc38a2
Cyp20a1
Itm2a
Uso1
Akirin1
Mia3
Zc3h11a
Cyr61
Slc29a1
Ganab
Tmbim6
Capza2
Col4a4
Tnks2
Skp1a
Stx12
Nnmt
Rab18
Zbtb20
Fgl2
Adamts2
Srxn1
Fbn1
Naalad2
Gosr2
Slc30a5
Psen1
Atp6v1a
Itfg3
Gsn
Ndrg4
Elovl5
Mapk9
Dars
Rbms3
Tubgcp2
Asph
Ptgfrn
Pofut2
Acsl5
Angptl4
Ubtd2
Rab1
Zc3h14
Uba1
Mettl9
Il6st
Csde1
Pcsk5
Ccdc50
Axl
Nucb1
Oxr1
Sept8
Aldh7a1
Add3
Sec31a
Fn1
Oat
Ppp1cb
Sars
Chmp1a
Plxnb2
Tor1aip2
Uba2
Ctsa
Ppp2ca
Fmo1
Cttn
Actb
Stx2
Anapc2
Tgoln1
Hbp1
Snx18
Sdf4
Wls
Ric8
Eif4a2
Pon2
Pygl
Nfib
Arrdc3
Lpar1
Flot2
Sidt2
Eif4b
Cpxm1
Igf2r
Acat1
Ugp2
Vcp
Dgcr2
Ost4
Lmf2
Morf4l2
Ddr2
Gas1
Mbnl2
Sgce
Nat15
Crk
M6pr
Tmem111
Pias1
Txnip
Jmjd1c
Msn
Acly
Eif4a3
Tmem127
Tmx1
Casp12
Lpl
Sec13
Lima1
Pdgfrl
Vps41
Fam120a
Leprotl1
Add1
Hif1a
Tpm4
Degs1
Glipr2
Tm9sf3
Tsc22d2
Etf1
Ddost
Zbtb16
Nid1
Cant1
Arpc1a
Clcn4-2
Gas6
H3f3a
Glud1
Lrig1
Plod3
Lamp2
Rps29
Srsf6
Mprip
Nrip1
Abi3bp
Cab39
Serp1
Clptm1l
Gpc3
Lta4h
Tfpi
Maged1
Cops2
Lysmd3
Cmtm6
Fap
Aco2
Athl1
Ergic1
Vasn
Apc
Txlna
Mtap1a
Col1a1
Rcn1
Rpn1
Snap23
P4ha2
Fstl1
Wsb2
Fkbp10
Gnai3
Fosb
Dpp3
Copb2
Antxr1
Rnft1
Tmem214
Trpc4ap
Fam114a1
Adam9
Gfpt2
Tmem167
Rdx
Sdc2
