Scand1
Nrxn2
Sepw1
Tmem85
Snhg7
Anp32b
Inmt
Vegfb
Ict1
Tra2a
Arhgap23
Rasgrf1
Trappc4
Dnlz
Dhrsx
Nutf2
2810428I15Rik
Zfp36
Nr2c2ap
Ndufa4l2
2310047M10Rik
Commd10
Lsm2
Mll2
Nme3
Tbcb
Ifi35
Atp5g2
Ngfrap1
Kdm6b
Isg20
Klf2
Ier2
Phldb1
Pim1
Hes1
H2-Q8
S100a1
Rnf44
H2-Q6
Pfn1
Sphk2
Ogfrl1
Efha2
5133401N09Rik
Gfra4
Smarcd1
Peg13
C3
Adrm1
Rab4b
Samd4b
Fkbp2
1500009L16Rik
Ranbp1
Ccdc101
Wdtc1
Apoe
Erdr1
Rp9
Lsm1
Arpc1b
Gsta3
Rtn1
Pdp2
Crlf2
Atp6v0c
Rasgrp2
Mospd3
C1qbp
Sept4
Cic
Gng11
Arrb2
Ndufb10
Rbm25
Rarres2
4930413G21Rik
Gpx4
Tmem219
Aebp1
Mrps18a
Tcf7l2
Atxn1
Cox4nb
Cyb5
Fxr2
Phf23
Chchd10
H2-Ke2
H2-K1
Spr
Psme1
Cox5a
Gstm1
Fxyd5
Foxf2
Abcg1
Pir
Il3ra
Pdlim7
H2afx
Sf3b4
Elof1
Pabpn1
Dtx3
2400001E08Rik
Tubb3
Hivep2
Rtn4rl2
Hsd11b1
Ypel3
Hsp90ab1
Akt1s1
Ehd4
Gadd45gip1
Rpl13a
Ccl7
Mea1
Mrps26
1110038F14Rik
Map3k10
Hmgb1
Eif1b
Alkbh6
Sult1e1
Pdap1
Nfkbib
Ndufb7
Nhp2
Arl4a
Cldn3
Mettl7a1
Obfc2b
Csnk2b
Pacsin3
Fis1
Ino80e
Cdk2ap2
Ybx1
Tnip1
Eif4ebp1
Zfpl1
Rtf1
Malat1
Pcyt2
Maz
Cirbp
Prr13
Polr2c
Stub1
Dnajc8
Ccdc124
Oaz1
BC017612
Alkbh7
Srrm2
Vamp5
Endog
Snrnp70
Tradd
Eif3k
Atp5d
Psmb2
Wbp2
Stra13
Atp6v0b
Enho
0610010O12Rik
Chd4
Emd
Duoxa1
Atp5g3
Bcl2l12
Furin
Lmo4
Lrrc8a
Mrpl12
Shisa9
Nat6
Fxyd1
Tmem11
Rbm42
Pisd-ps3
Thap3
Cltb
Fam89b
D10Jhu81e
Ring1
Pin1
Cfl1
Ccl11
0610011F06Rik
Aes
Nt5c
Ubxn1
Rab11fip2
Otub1
Ptma
Pdgfrb
Clec3b
Trappc3
Rabac1
Capg
Znhit1
Use1
Ndufaf3
Tifa
Selm
Nt5c3l
Agpat2
Cdkn2b
Nmb
Bbc3
Cyba
Psmb9
Hmg20b
Cd82
Rab3a
Psmb6
Rgs3
Ccdc28b
Crip2
Pla2g16
Chchd6
Hoxb2
2310036O22Rik
Jund
Ptms
Fosl1
Cd63
Apbb1ip
Nudt16l1
Hebp1
Aox3
Gpx3
Nr1h2
Ndufs7
Pgp
Rsbn1
Cdc42ep5
Gstp1
Gga1
4930420K17Rik
Vps72
Zfp703
Phlda3
Manbal
Zfp710
Nsg1
Dmkn
Cryab
Adam33
Srsf11
Sertad1
Clic1
Hspe1
Etfb
Map1lc3a
Gadd45b
Whsc1l1
Mrpl14
Ddt
Snrpa
Ece1
Syf2
Pdlim2
Pold4
Naa10
Bcl3
Ppp1r35
Mrps12
Exosc5
Il17d
Plvap
2310011J03Rik
Hspb1
Proca1
Tmem222
S100a16
Zfp787
Prelid1
Trappc6a
Tnfsf12
Pmvk
Scn1b
Txn2
Mvd
Polr3gl
Pkmyt1
Macrod1
Fam50a
Agt
Rhoc
Ddhd2
Mllt6
Klf16
Tmem150a
Ngf
Cdc37
Ptgs1
D11Wsu99e
Pebp1
H2-Q4
Prr24
Grasp
A230050P20Rik
Dcxr
Npm3
1700012B15Rik
Mgst1
Gstt1
2310033P09Rik
Rbpms
Bax
Bad
Gpnmb
Tpt1
Ndufb9
Srsf7
Atn1
9430023L20Rik
1810046J19Rik
C130026I21Rik
Pkig
Psmb10
Polr2a
Rras
Ssna1
Ubl7
Tomm6
Slc9a3r1
Rnf126
Limd2
Rdm1
Fdx1l
Srsf5
BC029722
Pusl1
Psip1
1810031K17Rik
Qtrt1
Grina
Arhgdia
Efhd2
Gm1821
Hp
Cmtm7
Gar1
Ninj1
Timm17b
Clic4
Nradd
Gm7609
Arpc3
Fth1
Lgals3
Ptges
Park7
Ldhb
Cotl1
Arl6ip4
Mafg
Ccdc85b
Chmp2a
BC056474
Psmb8
Traf4
Srrm1
Gngt2
Snai1
Pcbd2
Msx1
